Ticker,Sector,Dividend Yield(%),Dividend Rate,Payout Ratio(%),5 Year Avg Dividend Yield(%),Earning Growth(%),Dividend Yield(%) Normalised,Dividend Rate Normalised,Payout Ratio(%) Normalised,5 Year Avg Dividend Yield(%) Normalised,Earning Growth(%) Normalised,Dividend Score,Cluster,Final Dividend Score,Risk Profile,Recommendation
BHARTIARTL.NS,Communication Services,121.0,24.0,33.44,0.8,35.099999999999994,0.15714285714285714,0.1,0.3580683156654888,0.09950248756218907,0.4246676514032497,0.20112378292871771,2,0.22787626235475694,Growth & Income Balanced,Growth Focused
HDFCBANK.NS,Financial Services,177.0,13.0,24.040001999999998,1.06,18.099999999999998,0.22987012987012986,0.05416666666666667,0.25741516222293603,0.1318407960199005,0.2991137370753324,0.18755693765047285,2,0.1944812983709931,Growth & Income Balanced,Growth Focused
LT.NS,Industrials,94.0,38.0,31.52,0.9,14.000000000000002,0.12207792207792208,0.15833333333333333,0.33750936931148945,0.1119402985074627,0.2688330871491877,0.1850632855687525,2,0.19973880207587907,Growth & Income Balanced,Growth Focused
LICI.NS,Financial Services,254.0,10.0,13.209999999999999,0.0,33.1,0.32987012987012987,0.041666666666666664,0.1414498340293393,0.0,0.40989660265878886,0.17657399936611903,2,0.18457664664498497,Growth & Income Balanced,Growth Focused
SUNPHARMA.NS,Healthcare,82.0,16.0,31.75,0.93,27.400000000000002,0.10649350649350649,0.06666666666666667,0.3399721597601456,0.11567164179104479,0.3677991137370754,0.1731900569653309,2,0.1993206176896878,Growth & Income Balanced,Growth Focused
JSWSTEEL.NS,Basic Materials,53.0,7.1,9.770001,0.97,112.99999999999999,0.06883116883116883,0.029583333333333333,0.10461506585287504,0.12064676616915423,1.0,0.17161838372042318,2,0.2647352668373063,Growth & Income Balanced,Growth Focused
M&M.NS,Consumer Cyclical,96.0,33.0,20.080000000000002,0.86,33.4,0.12467532467532468,0.1375,0.2150123139522433,0.10696517412935325,0.412112259970458,0.17050932101596253,2,0.19925301454547584,Growth & Income Balanced,Growth Focused
SBIN.NS,Financial Services,164.0,17.35,17.44,1.52,-3.1,0.21298701298701297,0.07229166666666667,0.18674376271549417,0.18905472636815923,0.1425406203840473,0.16776819708457266,2,0.16072355782427605,Growth & Income Balanced,Growth Focused
TITAN.NS,Consumer Cyclical,31.0,15.0,19.24,0.28,35.099999999999994,0.04025974025974026,0.0625,0.20601777492236856,0.03482587064676618,0.4246676514032497,0.11521341633207399,2,0.15365420744642494,Growth & Income Balanced,Growth Focused
ICICIBANK.NS,Financial Services,83.0,12.0,14.220000999999998,0.63,13.8,0.10779220779220779,0.05,0.15226470714209228,0.07835820895522388,0.26735598227474155,0.11519784378459971,2,0.13115422123285309,Growth & Income Balanced,Growth Focused
BAJFINANCE.NS,Financial Services,47.0,5.4,16.580000000000002,0.38,27.200000000000003,0.06103896103896104,0.022500000000000003,0.17753506799443197,0.04726368159203981,0.3663220088626294,0.10440363911524561,2,0.13493194389761243,Growth & Income Balanced,Growth Focused
ADANIPORTS.NS,Industrials,44.0,7.5,12.8,0.56,2.4,0.05714285714285714,0.03125,0.13705964235999574,0.06965174129353235,0.18316100443131467,0.08305123431669423,2,0.09565304904553998,Growth & Income Balanced,Growth Focused
RELIANCE.NS,Energy,47.0,6.0,20.830000000000002,0.44,-22.400000000000002,0.06103896103896104,0.025,0.2230431523717743,0.05472636815920399,0.0,0.07886559241788398,2,0.07276169631398786,Growth & Income Balanced,Growth Focused
AXISBANK.NS,Financial Services,8.0,1.0,0.0,1.03,21.8,0.01038961038961039,0.004166666666666667,0.0,0.12810945273631844,0.326440177252585,0.062216124722738644,2,0.0938211814090361,Growth & Income Balanced,Growth Focused
KOTAKBANK.NS,Financial Services,16.0,0.65,2.4500001,0.09,22.5,0.02077922077922078,0.0027083333333333334,0.026234073241246388,0.01119402985074627,0.33161004431314633,0.04742205795014607,2,0.07850514030353863,Growth & Income Balanced,Growth Focused
ADANIENT.NS,Energy,4.0,1.3,2.26,0.05,0.0,0.005194805194805195,0.005416666666666667,0.02419959310418674,0.006218905472636817,0.16543574593796165,0.02526904920093577,2,0.041293143275251416,Growth & Income Balanced,Growth Focused
TATAMOTORS.NS,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16543574593796165,0.016543574593796167,2,0.03308714918759233,Growth & Income Balanced,Growth Focused
